course,crn,instructor,days,start_time,end_time
ECON 205,22015,"Dudey, Marc P.",Tue,18:30,21:00
ECON 208,25756,"Coleman, Chase",Fri,13:00,15:30
ECON 208,25756,"Coleman, Chase",Wed,18:00,18:50
ECON 209,22016,"Ore Monago, Tilsa","Tue,Thu",09:25,10:40
ECON 209,22016,"Ore Monago, Tilsa",Thu,18:00,18:59
ECON 209,22017,"Ore Monago, Tilsa","Tue,Thu",09:25,10:40
ECON 209,22017,"Ore Monago, Tilsa",Thu,19:00,19:59
ECON 209,24509,"Dominitz, Jeff","Mon,Wed",14:00,15:15
ECON 209,24509,"Dominitz, Jeff",Tue,19:00,19:50
ECON 210,24511,"Yektansani, Kiana","Mon,Wed,Fri",09:00,09:50
ECON 211,24512,"Yektansani, Kiana","Mon,Wed,Fri",15:00,15:50
ECON 214,25861,"Yektansani, Kiana","Mon,Wed,Fri",16:00,16:50
ECON 300,22018,"Ore Monago, Tilsa","Tue,Thu",10:50,12:05
ECON 305,22019,"Boylan, Richard","Tue,Thu",10:50,12:05
ECON 307,21082,"McGuffey, Elizabeth","Tue,Thu",13:00,14:15
ECON 307,22575,"Graves, Rose","Mon,Wed",14:00,15:15
ECON 308,22020,"Alva, Samson","Tue,Thu",10:50,12:05
ECON 308,22020,"Alva, Samson",Mon,19:00,19:50
ECON 310,22021,"Brown, Bryan","Mon,Wed",16:00,17:15
ECON 310,22021,"Brown, Bryan",Thu,18:00,18:50
ECON 343,20963,"Hartley, Peter","Mon,Wed,Fri",13:00,13:50
ECON 365,25576,"Lopez Alonso, Moramay","Tue,Thu",14:30,15:45
ECON 434,25646,"Coleman, Chase",Fri,16:00,18:30
ECON 434,25646,"Coleman, Chase",Thu,19:00,19:50
ECON 445,22022,"Boylan, Richard","Tue,Thu",09:25,10:40
ECON 450,24513,"Calvi, Rossella","Mon,Wed,Fri",14:00,14:50
ECON 471,25692,"Kong, Yunmi","Tue,Thu",08:00,09:15
ECON 471,25692,"Kong, Yunmi",Mon,18:00,18:50
